Number,Rank,birthday,Sex,Age,Tall,Weight,BloodType,Win_rate,Wins_rate,1st_num,2nd_num,Runs_num,Yusyutu_num,Champ_num,ST_mean,Course1_entry_num,Course1_Wins_rate,Course1_ST_mean,Course1_Start_Rank,Course2_entry_num,Course2_Wins_rate,Course2_ST_mean,Course2_Start_Rank,Course3_entry_num,Course3_Wins_rate,Course3_ST_mean,Course3_Start_Rank,Course4_entry_num,Course4_Wins_rate,Course4_ST_mean,Course4_Start_Rank,Course5_entry_num,Course5_Wins_rate,Course5_ST_mean,Course5_Start_Rank,Course6_entry_num,Course6_Wins_rate,Course6_ST_mean,Course6_Start_Rank,bef_Rank,bef_bef_Rank,bef_bef_bef_Rank,bef_Capavility_index,Now_Capability_index,Year,Period,CalcurationPeriod1,CalcurationPeriod2,GraduatePeriod,Course1_1st_num,Course1_2nd_num,Course1_3rd_num,Course1_4th_num,Course1_5th_num,Course1_6th_num,Course1_F_num,Course1_L0_num,Course1_L1_num,Course1_K0_num,Course1_K1_num,Course1_S0_num,Course1_S1_num,Course1_S2_num,Course2_1st_num,Course2_2nd_num,Course2_3rd_num,Course2_4th_num,Course2_5th_num,Course2_6th_num,Course2_F_num,Course2_L0_num,Course2_L1_num,Course2_K0_num,Course2_K1_num,Course2_S0_num,Course2_S1_num,Course2_S2_num,Course3_1st_num,Course3_2nd_num,Course3_3rd_num,Course3_4th_num,Course3_5th_num,Course3_6th_num,Course3_F_num,Course3_L0_num,Course3_L1_num,Course3_K0_num,Course3_K1_num,Course3_S0_num,Course3_S1_num,Course3_S2_num,Course4_1st_num,Course4_2nd_num,Course4_3rd_num,Course4_4th_num,Course4_5th_num,Course4_6th_num,Course4_F_num,Course4_L0_num,Course4_L1_num,Course4_K0_num,Course4_K1_num,Course4_S0_num,Course4_S1_num,Course4_S2_num,Course5_1st_num,Course5_2nd_num,Course5_3rd_num,Course5_4th_num,Course5_5th_num,Course5_6th_num,Course5_F_num,Course5_L0_num,Course5_L1_num,Course5_K0_num,Course5_K1_num,Course5_S0_num,Course5_S1_num,Course5_S2_num,Course6_1st_num,Course6_2nd_num,Course6_3rd_num,Course6_4th_num,Course6_5th_num,Course6_6th_num,Course6_F_num,Course6_L0_num,Course6_L1_num,Course6_K0_num,Course6_K1_num,Course6_S0_num,Course6_S1_num,Course6_S2_num
2930,B1,S310810,1,63,164,52,O ,4.49,3.07,8,12,65,1,0,0.18,9,3.33,0.15,3,11,4.55,0.15,2.9,14,3.57,0.18,3.6,11,2.73,0.2,4.7,14,2.14,0.21,4.1,4,2.5,0.17,4.5,B1,B1,A2,48,45,2020,2,20191101,20200430,46,3,0,2,2,1,1,0,0,0,0,0,0,0,0,3,2,0,0,3,2,0,0,0,0,0,0,1,0,2,3,4,1,1,3,0,0,0,0,0,0,0,0,0,3,0,1,4,3,0,0,0,0,0,0,0,0,0,3,2,2,5,2,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0
2935,B1,S330510,1,62,159,51,A ,4.12,1.88,7,12,101,0,0,0.2,17,5.29,0.18,3.8,22,2.73,0.19,3.6,17,0,0.2,4,17,1.18,0.18,3.8,17,1.18,0.2,4.1,12,0,0.27,5.3,B1,B1,B1,43,46,2020,2,20191101,20200430,46,5,4,2,2,2,1,0,0,0,0,0,0,1,0,0,6,8,3,2,3,0,0,0,0,0,0,0,0,0,0,1,5,8,3,0,0,0,0,0,0,0,0,1,1,2,5,3,4,0,0,0,0,0,1,0,0,1,1,2,3,5,5,0,0,0,0,0,0,0,0,0,0,2,2,4,4,0,0,0,0,0,0,0,0
2958,B1,S321224,1,62,158,51,B ,3.78,1.44,5,6,76,0,0,0.18,11,3.64,0.16,3.3,14,2.14,0.22,3.8,15,1.33,0.15,2.9,13,1.54,0.18,3.4,12,0,0.19,3.8,11,0,0.2,2.8,B1,B1,B1,45,44,2020,2,20191101,20200430,47,4,0,1,3,0,2,1,0,0,0,0,0,0,0,1,2,5,3,2,1,0,0,0,0,0,0,0,0,0,2,3,1,3,5,0,0,0,0,0,0,0,1,0,2,4,2,2,3,0,0,0,0,0,0,0,0,0,0,1,3,3,5,0,0,0,0,0,0,0,0,0,0,0,1,7,3,0,0,0,0,0,0,0,0
2983,B2,S341004,2,60,162,45,O ,3.18,1.11,1,4,45,0,0,0.2,10,3,0.21,3,13,1.54,0.18,3.8,9,0,0.18,3.2,9,0,0.21,4,2,0,0.25,5,2,0,0.29,6,B2,B2,B1,42,42,2020,2,20191101,20200430,48,1,2,1,0,1,5,0,0,0,0,0,0,0,0,0,2,2,2,5,2,0,0,0,0,0,0,0,0,0,0,0,3,4,2,0,0,0,0,0,0,0,0,0,0,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2992,A1,S360622,1,59,162,50,A ,6.65,4.02,20,19,97,5,2,0.14,21,8.1,0.15,3,15,4,0.17,3.1,14,3.57,0.13,2.6,19,3.68,0.13,2.2,17,2.35,0.11,2.5,11,0,0.14,2.8,A1,A1,A1,64,68,2020,2,20191101,20200430,48,12,5,2,0,1,1,0,0,0,0,0,0,0,0,2,4,2,2,4,1,0,0,0,0,0,0,0,0,1,4,4,3,1,1,0,0,0,0,0,0,0,0,4,3,5,7,0,0,0,0,0,0,0,0,0,0,1,3,3,5,5,0,0,0,0,0,0,0,0,0,0,0,4,2,2,3,0,0,0,0,0,0,0,0
3006,B1,S320922,1,62,164,55,A ,3.29,1.09,4,5,82,0,0,0.23,11,5.45,0.17,3.5,18,0.56,0.22,3.9,14,0,0.21,4.5,16,1.25,0.21,4,13,0,0.28,5.2,10,0,0.3,5.2,B1,B1,B1,45,43,2020,2,20191101,20200430,49,3,3,0,1,3,1,0,0,0,0,0,0,0,0,0,1,2,7,7,1,0,0,0,0,0,0,0,0,0,0,1,4,3,5,1,0,0,0,0,0,0,0,1,1,4,1,4,5,0,0,0,0,0,0,0,0,0,0,1,1,7,4,0,0,0,0,0,0,0,0,0,0,1,1,4,4,0,0,0,0,0,0,0,0
3020,B1,S350308,1,60,160,52,A ,4.65,2.13,10,9,89,0,0,0.21,15,4.67,0.19,4.3,17,0.59,0.2,3.7,25,1.2,0.23,4.2,25,2.4,0.22,4,6,3.33,0.2,2.7,1,0,0.22,5,B1,B1,B1,46,48,2020,2,20191101,20200430,49,4,3,3,1,3,1,0,0,0,0,0,0,0,0,0,1,7,6,1,2,0,0,0,0,0,0,0,0,0,3,3,4,6,9,0,0,0,0,0,0,0,0,4,2,6,7,1,5,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3022,A1,S351009,1,59,168,54,B ,6.3,4.78,30,38,142,3,0,0.16,32,8.13,0.13,2.8,22,4.09,0.18,4.1,24,3.75,0.14,2.9,28,5.36,0.17,3.1,27,1.85,0.19,3.6,12,3.33,0.15,2.8,A1,A1,A1,54,52,2020,2,20191101,20200430,49,20,6,2,3,1,0,0,0,0,0,0,0,0,0,3,6,4,2,3,3,0,0,0,0,0,0,1,0,3,6,7,3,3,2,0,0,0,0,0,0,0,0,3,12,5,2,4,1,0,0,0,0,0,1,0,0,0,5,9,6,3,3,0,0,0,0,0,1,0,0,1,3,1,3,2,1,0,0,0,0,0,1,0,0
3024,A1,S361030,1,58,166,58,AB,7.59,6.48,52,33,131,8,2,0.16,47,7.66,0.16,2.8,73,6.16,0.16,3,12,3.33,0.12,2.3,2,0,0.21,4.5,0,0,0,0,0,0,0,0,A1,A1,A1,57,58,2020,2,20191101,20200430,49,26,10,3,3,3,0,1,0,0,0,0,1,0,0,23,22,12,8,6,0,0,0,0,0,0,1,1,0,3,1,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3025,B1,S370108,1,58,160,50,B ,4.59,2.1,3,13,76,0,0,0.21,11,6.36,0.22,4.2,12,3.33,0.21,4.1,16,0.63,0.18,4.1,16,1.88,0.2,4.3,11,0,0.2,3.9,10,1,0.25,5.5,B1,B1,B1,46,49,2020,2,20191101,20200430,49,2,5,0,2,2,0,0,0,0,0,0,0,0,0,0,4,4,2,1,1,0,0,0,0,0,0,0,0,1,0,3,5,6,1,0,0,0,0,0,0,0,0,0,3,5,6,1,1,0,0,0,0,0,0,0,0,0,0,1,4,3,3,0,0,0,0,0,0,0,0,0,1,2,2,4,1,0,0,0,0,0,0,0,0
